Country,Rank,Score,Status
 Serbia,98,49,Partly Free
 Seychelles,98,49,Partly Free
 Georgia,102,50,Partly Free
 Albania,103,51,Partly Free
 Bosnia and Herzegovina,103,51,Partly Free
 Côte d'Ivoire,103,51,Partly Free
 Lesotho,103,51,Partly Free
 Nigeria,103,51,Partly Free
 Haiti,108,52,Partly Free
   Nepal,108,52,Partly Free
 Niger,108,52,Partly Free
 Bolivia,111,53,Partly Free
 Mauritania,111,53,Partly Free
 Somaliland,111,53,Partly Free
 Ukraine,111,53,Partly Free
 Sierra Leone,115,54,Partly Free
 Tunisia,115,54,Partly Free
 Nicaragua,117,55,Partly Free
 Lebanon,118,56,Partly Free
 Moldova,118,56,Partly Free
 Colombia,120,57,Partly Free
 Togo,120,57,Partly Free
 Bhutan,122,58,Partly Free
 Guatemala,122,58,Partly Free
 Kenya,122,58,Partly Free
 Madagascar,122,58,Partly Free
 Tanzania,122,58,Partly Free
 Uganda,122,58,Partly Free
 Guinea-Bissau,128,59,Partly Free
 Paraguay,128,59,Partly Free
 Afghanistan,130,60,Partly Free
 Congo (Brazzaville),130,60,Partly Free
 Kuwait,130,60,Partly Free
 Liberia,130,60,Partly Free
 Sri Lanka,134,61,Not Free
 Bangladesh,135,62,Not Free
 Maldives,135,62,Not Free
 Armenia,137,63,Not Free
 Zambia,137,63,Not Free
 Macedonia,139,64,Not Free
 Mexico,139,64,Not Free
 Algeria,141,65,Not Free
 Pakistan,141,65,Not Free
 Cameroon,143,66,Not Free
 Ecuador,143,66,Not Free
 Guinea,143,66,Not Free
 Honduras,143,66,Not Free
 Morocco,143,66,Not Free
 Kyrgyzstan,148,67,Not Free
 Singapore,148,67,Not Free
 Jordan,150,68,Not Free
 Malaysia,151,69,Not Free
 Cambodia,152,70,Not Free
 Qatar,152,70,Not Free
 South Sudan,152,70,Not Free
 Central African Republic,155,71,Not Free
 Gabon,155,71,Not Free
 Iraq,155,71,Not Free
 Oman,155,71,Not Free
 Angola,159,73,Not Free
 Myanmar,159,73,Not Free
 Chad,161,74,Not Free
 Zimbabwe,161,74,Not Free
 Brunei,163,76,Not Free
 Turkey,163,76,Not Free
 Djibouti,165,77,Not Free
 Egypt,165,77,Not Free
 Libya,165,77,Not Free
 Thailand,165,77,Not Free
 United Arab Emirates,169,78,Not Free
 Rwanda,170,79,Not Free
 Somalia,170,79,Not Free
 Venezuela,172,81,Not Free
 Congo (Kinshasa),173,82,Not Free
 Belarus,174,83,Not Free
 Russia,174,83,Not Free
 Swaziland,174,83,Not Free
 Vietnam,177,84,Not Free
 Palestine,177,84,Not Free
 Burundi,179,85,Not Free
 Kazakhstan,179,85,Not Free
 Laos,179,85,Not Free
 Yemen,179,85,Not Free
 Ethiopia,183,86,Not Free
 Saudi Arabia,183,86,Not Free
 Sudan,183,86,Not Free
 Bahrain,186,87,Not Free
 China,186,87,Not Free
 Tajikistan,186,87,Not Free
 The Gambia,186,87,Not Free
 Azerbaijan,190,90,Not Free
 Iran,190,90,Not Free
 Syria,190,90,Not Free
 Cuba,193,91,Not Free
 Equatorial Guinea,193,91,Not Free
 Crimea,195,94,Not Free
 Eritrea,195,94,Not Free
 Uzbekistan,197,95,Not Free
 North Korea,198,98,Not Free
 Turkmenistan,198,98,Not Free
